Park Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Average
Crater Lake NP,"456,620","479,183","417,066","447,240","388,972","468,958","415,686","446,516","448,319","423,551","447,251","523,027","535,508","614,712","756,344","711,749","720,659","704,512","670,500","647,751","536,206"
Craters of the Moon NM & PRES,"183,573","178,824","183,111","203,332","176,998","221,672","227,179","194,046","215,698","198,545","197,529","200,525","214,993","246,826","255,436","285,227","263,506","272,224","250,872","270,829","222,047"
Cumberland Gap NHP,"915,347","987,782","929,583","1,006,447","936,929","994,985","843,893","883,663","918,746","828,947","853,998","768,363","879,934","840,601","820,387","737,547","684,191","704,598","735,447","814,119","854,275"
Cumberland Island NS,"41,576","41,727","38,287","40,291","44,025","72,449","82,812","77,588","91,996","74,279","61,493","51,435","61,401","59,859","61,896","51,937","55,650","53,904","37,295","72,240","58,607"
Curecanti NRA,"732,713","1,008,810","1,006,102","882,768","936,380","964,640","1,007,444","953,169","969,549","924,468","862,612","814,163","931,367","944,742","982,498","1,041,446","931,512","836,034","921,584","1,043,725","934,786"
Cuyahoga Valley NP,"3,217,935","2,879,591","3,306,175","2,533,827","2,468,816","2,486,656","2,828,233","2,589,288","2,492,670","2,161,185","2,299,722","2,103,010","2,189,849","2,284,612","2,423,390","2,226,879","2,096,053","2,237,997","2,755,628","2,575,275","2,507,840"
Dayton Aviation Heritage NHP,"40,246","100,616","50,569","49,100","51,771","54,827","53,292","58,301","63,961","68,048","65,999","59,274","57,565","73,588","95,334","99,700","93,541","94,709","39,851","65,735","66,801"
De Soto NMEM,"194,161","271,737","236,717","240,172","245,503","260,843","265,944","246,608","265,406","355,653","432,981","279,924","342,039","293,647","232,463","233,354","210,993","187,880","196,114","222,380","260,726"
Death Valley NP,"897,596","890,375","764,820","800,113","744,440","704,122","871,938","828,574","984,775","946,867","984,568","951,972","1,101,312","1,154,843","1,296,283","1,294,827","1,678,660","1,740,945","820,023","1,146,551","1,030,180"
Delaware Water Gap NRA,"5,165,415","5,059,410","5,052,264","5,052,264","5,254,216","4,836,229","5,127,074","5,213,030","5,285,761","4,986,700","4,970,802","4,843,350","4,041,672","3,735,134","3,677,744","3,400,944","3,261,921","3,374,865","4,068,529","4,340,902","4,537,411"
