Park Name,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,Average
Ross Lake NRA,,,,,,,,,0,"298,948","330,015","311,716","348,257","344,902","313,565","332,164","425,209","333,944","273,696","331,343","303,647"
Russell Cave NM,"21,780","22,136","22,675","21,561","23,388","24,959","25,161","23,693","23,553","20,783","27,309","30,020","32,923","35,739","26,881","27,380","26,353","27,289","23,465","20,449","25,375"
Sagamore Hill NHS,"144,023","123,487","120,835","121,598","119,458","104,801","135,331","159,839","168,975","115,176","80,621","58,762","62,887","71,261","71,195","96,590","90,919","67,193","53,182","45,176","100,565"
Saguaro NP,"566,807","634,688","699,292","636,711","613,651","689,933","675,397","706,191","702,328","679,034","810,059","828,267","768,685","732,813","671,643","739,410","716,160","749,014","765,195","725,874","705,558"
Saint Croix NSR,"445,183","440,016","462,922","439,033","438,772","625,549","529,414","553,779","489,274","468,790","500,960","373,518","424,835","458,525","422,653","423,622","452,748","328,506","369,736","257,903","445,287"
Saint Paul's Church NHS,,,,,,,,,,"5,987","4,712","3,341","3,869","4,495","4,346","6,032","8,069","7,442","9,771","11,756","6,347"
Saint-Gaudens NHP,"38,002","38,682","27,080","31,880","35,446","36,227","32,974","44,881","35,955","39,790","35,773","33,482","34,560","34,773","37,498","35,369","36,303","29,031","37,030","37,550","35,614"
Salem Maritime NHS,"401,480","565,898","788,510","669,983","673,861","874,589","742,673","693,272","617,428","786,942","1,079,290","542,495","623,383","693,218","600,778","688,584","802,214","762,869","796,318","748,747","707,627"
Salinas Pueblo Missions NM,"32,491","35,968","28,395","29,643","30,619","35,093","34,114","38,723","36,313","41,171","46,707","50,283","51,391","53,950","44,913","41,710","39,464","39,962","34,842","34,568","39,016"
San Antonio Missions NHP,,"134,904","205,124","212,165","250,410","257,265","258,033","270,136","313,443","290,519","950,496","1,230,544","1,504,518","1,087,165","1,239,970","1,328,958","1,118,905","1,224,178","1,393,894","1,370,082","770,564"
San Francisco Maritime NHP,,,,,,,,"5,203,302","3,088,265","4,317,598","3,560,895","3,649,325","3,733,911","3,631,994","3,670,972","3,530,687","3,535,081","3,535,315","3,433,066","3,256,974","3,703,645"
San Juan Island NHP,"113,385","122,540","99,400","104,312","137,008","158,260","248,188","251,399","247,823","359,168","301,452","323,987","201,516","206,039","227,104","225,851","250,285","270,671","267,718","301,067","220,859"
San Juan NHS,"1,508,333","1,306,178","2,005,185","2,221,661","2,230,500","1,808,232","2,555,674","2,425,305","2,404,184","2,345,348","2,070,744","1,243,057","1,306,921","1,350,829","1,051,187","982,740","892,854","950,141","1,086,104","1,281,528","1,651,335"
Santa Monica Mountains NRA,"468,144","394,100","458,423","513,073","516,064","517,811","501,450","209,908","305,972","334,272","365,215","401,739","384,324","388,047","428,524","530,198","516,249","555,529","469,344","532,898","439,564"
Saratoga NHP,"121,867","123,519","119,870","116,922","189,774","128,776","129,361","149,280","163,910","169,919","154,661","174,913","200,210","177,278","137,366","138,405","170,227","158,602","163,914","154,897","152,184"
Saugus Iron Works NHS,"37,581","38,549","43,498","40,320","49,500","69,640","70,857","75,536","45,652","47,605","50,138","34,748","22,095","20,738","21,451","19,146","22,917","22,064","17,713","17,017","38,338"
Scotts Bluff NM,"170,175","151,984","153,448","168,616","170,708","161,896","147,408","164,050","171,788","186,813","152,710","156,056","141,820","127,385","132,166","141,613","141,606","141,453","119,404","113,135","150,712"
Sequoia NP,"1,020,500","854,233","979,632","939,468","1,056,527","1,139,389","1,031,129","1,056,020","1,063,538","1,120,278","961,095","1,066,552","1,034,133","844,582","838,060","1,008,931","861,303","873,229","838,947","870,327","972,894"
Shenandoah NP,"1,751,972","1,768,378","1,869,307","1,933,085","1,843,985","1,767,727","1,937,155","1,873,817","1,771,780","1,939,486","1,822,193","1,951,366","1,926,883","1,757,794","1,571,019","1,587,790","1,473,100","1,339,286","1,419,579","1,498,561","1,740,213"
Shiloh NMP,"260,177","272,092","275,345","264,428","325,958","336,129","361,575","338,946","337,191","400,983","407,986","341,220","363,441","330,432","318,936","345,310","329,067","357,532","261,472","356,787","329,250"
Sitka NHP,"87,316","84,830","108,046","116,946","110,580","95,060","101,020","102,503","123,693","136,110","142,467","118,843","133,010","259,365","371,210","269,606","159,965","197,809","194,053","211,984","156,221"
Sleeping Bear Dunes NL,"664,945","658,208","853,186","897,512","634,435","1,222,811","1,317,530","1,250,416","1,216,870","1,246,333","1,237,181","1,182,843","1,159,676","1,151,957","1,091,005","1,157,616","1,298,205","1,364,834","1,195,084","1,127,107","1,096,388"
Springfield Armory NHS,"18,134","15,626","17,452","16,123","18,274","13,705",0,"4,731","16,534","16,981","15,630","12,524","15,513","31,572","18,991","16,000","15,247","16,250","23,987","27,044","16,516"
Statue of Liberty NM,"1,784,297","1,598,829","637,180","190,172","1,923,692","3,092,686","2,833,424","2,655,797","3,072,185","4,343,017","4,157,904","4,112,003","4,252,823","4,244,725","4,494,076","4,738,388","5,200,633","5,370,015","5,509,706","4,317,998","3,426,478"
Steamtown NHS,,,,,,,,"101,761","119,990","91,417","151,079","152,947","130,129","211,553","168,970","182,827","185,274","178,208","160,421","128,435","151,001"
Stones River NB,"140,772","138,605","123,698","196,299","210,335","151,748","198,213","189,904","192,400","222,583","243,813","283,283","203,956","258,269","255,888","165,026","187,647","191,559","186,212","192,084","196,615"
Sunset Crater Volcano NM,"348,633","375,136","409,112","412,501","426,454","449,423","515,084","499,265","502,450","520,487","597,942","514,943","522,963","488,911","198,349","187,734","175,805","183,198","167,988","159,523","382,795"
Tallgrass Prairie NPRES,,,,,,,,,,,,,,,,,"18,994","21,786","18,049","18,149","19,245"
Thaddeus Kosciuszko NMEM,"7,693","7,037","7,052","7,433","7,208","7,855","7,243","7,489","6,422","5,788","5,501","4,560","7,152","7,593","7,259","6,892","5,990","6,130","8,488","7,722","6,925"
Theodore Roosevelt Birthplace NHS,"12,563","13,163","16,381","17,511","16,408","17,273","15,817","11,256","11,255","13,237","17,629","18,225","18,876","16,995","26,895","27,613","23,459","23,495","19,837","11,198","17,454"
Theodore Roosevelt Inaugural NHS,"14,975","16,068","15,468","13,150","21,077","33,474","41,598","44,470","38,527","26,869","23,801","35,724","40,879","45,333","8,300","10,323","12,578","13,315","15,813","20,684","24,621"
Theodore Roosevelt Island,"58,630","55,901","51,714","51,745","48,359","33,739","36,469","86,658","42,426","50,659","36,984","47,958","66,215","89,358","131,890","129,818","131,741","188,431","178,795","190,029","85,376"
Theodore Roosevelt NP,"677,014","415,118","361,139","377,152","390,553","424,846","413,527","459,171","460,718","468,926","475,937","475,160","505,349","460,699","436,081","393,265","448,286","431,311","431,813","446,609","447,634"
Thomas Edison NHP,"43,927","39,121","40,796","32,599","37,916","41,778","55,832","62,103","55,872","63,231","74,883","61,621","58,050","55,760","53,603","67,659","61,330","26,010","12,863","54,419","49,969"
Thomas Jefferson MEM,"1,270,798","1,485,531","1,873,728","2,261,477","3,273,574","1,818,622","1,329,531","923,811","794,102","655,444","939,852","714,095","531,436","588,051","748,862","953,408","2,139,549","2,218,837","1,976,325","2,225,756","1,436,139"
Thomas Stone NHS,,,,,,,,,,,"3,161","3,589","4,802","4,872","3,946","6,023","3,034","4,038","4,414","5,241","4,312"
Timpanogos Cave NM,"104,630","98,475","119,688","128,622","124,410","137,279","138,694","126,876","114,247","104,745","120,374","90,803","77,528","79,641","97,250","112,777","119,074","122,778","115,115","126,270","112,964"
Timucuan EHP,,,,,,,,,,,"49,861","52,945","50,329","50,812","59,701","121,420","633,233","637,012","650,585","707,183","301,308"
Tonto NM,"68,844","70,039","69,665","73,606","82,784","80,906","78,382","61,106","45,536","62,639","60,375","70,161","69,083","70,936","71,970","79,402","78,822","74,006","76,059","80,006","71,216"
Tumacacori NHP,"58,290","57,922","58,260","58,022","60,117","63,327","60,311","61,912","63,945","58,269","52,951","53,363","66,097","57,711","62,206","58,713","58,853","56,189","53,706","49,570","58,487"
Tuskegee Institute NHS,"82,990","76,060","95,323","96,655","99,876","199,819","280,757","289,050","399,684","402,485","309,072","326,080","631,054","769,540","490,861","44,324","48,377","54,652","57,954","37,843","239,623"
Tuzigoot NM,"79,566","80,541","83,668","90,934","97,537","96,444","108,423","113,344","118,386","136,092","138,684","109,951","116,814","118,369","115,411","131,419","125,437","124,347","113,525","116,323","110,761"
Ulysses S. Grant NHS,,,,,,,,,,524,"1,366","2,983","5,016","7,539","14,124","14,040","19,134","20,635","17,894","22,421","11,425"
Upper Delaware S&RR,"106,502","223,096","159,854","154,799","162,598","157,753","207,465","226,125","215,924","222,637","207,751","258,994","270,922","492,256","494,267","308,215","292,245","354,356","276,178","306,639","254,929"
Valley Forge NHP,"3,410,490","3,448,694","3,957,742","4,177,029","4,225,618","4,348,196","4,202,511","4,700,074","1,659,425","1,687,247","1,772,542","1,831,429","1,805,069","1,925,679","1,876,525","1,901,406","1,784,520","1,308,986","1,350,434","1,230,025","2,630,182"
Vanderbilt Mansion NHS,"368,936","420,104","383,092","324,128","395,597","411,391","432,718","573,188","723,521","434,754","392,702","452,936","329,531","354,937","368,899","382,417","383,038","313,863","410,575","396,656","412,649"
Vicksburg NMP,"614,788","653,835","1,112,881","899,674","1,066,054","869,149","675,690","571,862","530,733","864,799","910,493","1,010,001","801,381","896,019","968,615","894,000","1,005,918","1,021,860","934,226","992,284","864,713"
Vietnam Veterans MEM,,,"2,303,890","3,978,216","5,355,354","3,987,293","3,657,726","2,594,694","1,956,930","1,615,908","1,666,381","1,686,781","1,475,044","1,221,695","1,230,191","1,765,012","4,687,299","4,442,238","3,782,445","3,704,008","2,839,506"
Virgin Islands NP,"673,480","676,800","666,435","699,398","766,458","785,354","838,684","664,032","664,735","710,180","772,470","807,093","635,291","536,058","475,942","592,537","556,849","425,345","703,992","677,401","666,427"
Voyageurs NP,"143,724","146,454","154,723","183,984","172,137","201,727","223,735","209,626","223,554","221,857","227,498","228,143","224,181","210,938","246,588","223,418","231,958","228,898","227,371","243,374","208,694"
Walnut Canyon NM,"86,517","88,376","93,628","90,077","115,754","109,001","122,465","135,129","134,429","157,146","157,987","165,223","162,295","149,082","153,287","129,807","115,342","122,064","112,649","102,839","125,155"
War in the Pacific NHP,,,,"8,623","51,567","55,914","49,427","57,404","61,166","59,950","58,287","69,835","112,367","125,806","133,220","124,455","134,067","138,575","155,789","149,865","90,960"
Washington Monument,"1,292,284","1,212,736","1,342,093","1,229,062","1,271,214","1,300,983","1,218,031","1,136,662","1,245,479","1,168,736","1,165,160","1,080,030","1,000,278","943,098","707,498","841,218","340,190","553,420","185,085",0,"961,663"
Weir Farm NHP,,,,,,,,,,,,"4,885","8,634","10,519","11,127","9,069","11,844","15,058","15,910","17,643","11,632"
Whiskeytown NRA,"1,377,648","1,082,532","1,299,089","1,246,433","1,728,722","1,742,251","1,352,456","1,550,783","2,002,858","1,537,073","785,975","446,180","950,586","914,470","844,151","697,435","752,478","716,526","702,883","695,018","1,121,277"
White House,"1,076,713","1,169,085","1,134,625","1,259,928","1,148,290","1,077,561","1,089,967","1,060,548","1,090,446","978,617","1,144,540","1,161,674","1,228,097","1,120,926","1,179,458","1,227,392","1,027,479","1,015,395","1,175,714","856,042","1,111,125"
White Sands NP,"543,581","492,902","542,930","486,754","666,879","567,613","556,185","568,530","582,487","588,543","590,371","611,252","583,061","604,796","616,699","629,507","592,957","553,948","515,229","518,958","570,659"
Whitman Mission NHS,"97,811","108,114","105,172","104,050","109,855","115,495","97,684","83,884","85,287","83,876","73,198","76,900","70,635","79,059","77,338","77,601","77,967","74,954","67,035","64,679","86,530"
William Howard Taft NHS,"3,184","2,964","2,272","1,649","3,905","3,683","5,617","7,633","7,599","8,333","6,475","6,146","7,065","6,088","6,640","7,588","7,166","5,960","8,267","8,946","5,859"
Wilson's Creek NB,"78,374","93,573","124,011","176,821","270,384","278,170","351,658","262,687","156,676","146,947","174,626","187,833","205,093","145,809","259,201","175,688","176,036","177,721","196,502","223,531","193,067"
Wind Cave NP,"467,392","503,739","536,022","477,585","483,334","563,720","578,016","561,758","586,464","597,057","660,296","537,075","871,061","805,688","781,171","832,033","849,974","761,717","668,507","650,357","638,648"
Wolf Trap NP for the Performing Arts,"339,034","258,430","304,738","458,395","539,294","545,667","577,050","565,823","560,284","597,469","680,862","620,644","612,599","584,988","591,928","644,852","523,354","549,491","523,843","539,999","530,937"
Women's Rights NHP,,"6,759","9,211","14,755","16,764","17,012","22,710","15,495","15,853","17,267","18,475","30,111","29,187","33,565","30,490","25,354","74,263","36,672","26,501","23,771","24,432"
Wrangell-St. Elias NP & PRES,"14,871","18,760","22,183","23,171","26,557","29,191","31,046","33,221","35,976","38,971","42,229","45,335","50,146","54,430","31,467","31,833","27,859","29,252","28,331","28,643","32,174"
Wright Brothers NMEM,"415,360","484,289","409,493","448,677","630,779","315,957","328,617","472,894","463,461","461,494","477,643","477,362","475,755","434,671","393,721","425,132","419,210","375,681","429,472","438,548","438,911"
Wupatki NM,"183,666","190,938","207,893","191,950","207,951","208,953","243,666","245,948","249,954","234,122","267,090","262,769","264,747","262,675","238,889","233,582","217,466","245,225","243,270","239,476","232,012"
Yellowstone NP,"2,368,897","2,347,242","2,222,027","2,226,159","2,363,756","2,573,194","2,182,113","2,644,442","2,823,572","2,920,537","3,144,405","2,912,193","3,046,145","3,125,285","3,012,171","2,889,513","3,120,830","3,131,381","2,838,233","2,758,526","2,732,531"
Yosemite NP,"2,415,587","2,457,464","2,738,467","2,831,952","2,876,717","3,152,275","3,216,681","3,308,159","3,124,939","3,423,101","3,819,518","3,839,645","3,962,117","3,958,406","4,046,207","3,669,970","3,657,132","3,493,607","3,400,903","3,368,731","3,338,079"
Yukon-Charley Rivers NPRES,697,955,988,"2,073","1,707","1,789","1,255",916,"1,965","2,050","2,430","1,951",646,658,"1,005","1,856","4,451","4,072","3,677","6,571","2,086"
Zion NP,"1,246,290","1,273,030","1,377,254","1,503,272","1,670,503","1,777,619","1,948,332","1,998,856","2,102,400","2,236,997","2,390,626","2,392,580","2,270,871","2,430,162","2,498,001","2,445,534","2,370,048","2,449,664","2,432,348","2,217,779","2,051,608"
